评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Lisa W.,Absolute trash.,https://www.amazon.com/gp/customer-reviews/R1OJAVL6SJTONZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," January 26, 2025",Size: SmallColor: Spider White,Verified Purchase,Absolute trash. Doesn’t look anything like the pictures. I think a sharpie drawn on would honestly look better.,
Jamie Robles,Great light weight jacket,https://www.amazon.com/gp/customer-reviews/REI4WFTH2J3TH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," January 23, 2025",Size: SmallColor: Spider Black,Verified Purchase,Bought for my niece now my daughter wants one too.,
mr.bean,Low quality,https://www.amazon.com/gp/customer-reviews/R2SV5CS3GYOMAP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"2.0 "," the United States "," January 17, 2025",Size: SmallColor: Spider White,Verified Purchase,The fabric is really thin and lints easily,
francheska cb,um,https://www.amazon.com/gp/customer-reviews/R39ZUIVBPVP1P4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"2.0 "," the United States "," January 10, 2025",Size: X-LargeColor: Spider Black,Verified Purchase,doesnt look like the picture ... says spoder in the front. i'll give a two because its a hoodie and its wearable.,
tamiaya,comfortable but smaller than i thought,https://www.amazon.com/gp/customer-reviews/R32RNMUHVG274/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," January 7, 2025",Size: MediumColor: T Spider Black,Verified Purchase,"for reference im 5'1 , 103lbs and usually mediums are huge but this was like a small on me. its still cute",
ian,Not as Advertised,https://www.amazon.com/gp/customer-reviews/R93W6K4SURWQX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," January 7, 2025",Size: MediumColor: Spider White,,"Couple of things: 1. No pictures of the front were advertised which lead me to believe the front was blank. When it arrived I saw what looked like a misspelling of “spider” but after reading other reviews, I’ve learned that this design was stolen and the original creator “starry sonder” put their signature on the front. So please direct your purchase toward the actual designer 2. the zipper goes all the way up the hood which I wish was advertised because that’s not what I was personally looking for 3. The zipper is poor quality and will likely break 4. Not true to size",3
Tillie Johnson,Product ok.,https://www.amazon.com/gp/customer-reviews/R1WS7LIVWH8JNM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," January 6, 2025",Size: MediumColor: Spider White,Verified Purchase,Liked product.  Delivery time was horrible.,
Stephanie Conklin,Secret,https://www.amazon.com/gp/customer-reviews/R1W7WSN9XZQFOJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," January 4, 2025",Size: MediumColor: Spider White,Verified Purchase,I was not informed in the pictures that are shown with the item that there are giant letters on the front and also the hood has a zipper on it the person that bought it was not satisfied and was upset,
Ellen K Deall,Xmas,https://www.amazon.com/gp/customer-reviews/R7W21N0YR61S4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," January 4, 2025",Size: LargeColor: Spider White,Verified Purchase,Was what my grandson wanted,
Ava,CUTE,https://www.amazon.com/gp/customer-reviews/RMKCD5LANRD0K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," December 31, 2024",Size: MediumColor: Spider Black,Verified Purchase,It’s really comfy and keeps me warm I love the hood,
Tiffany Kozak,Hoodie isn’t as pictured.,https://www.amazon.com/gp/customer-reviews/R2KPUM5VV2ZM1G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"2.0 "," the United States "," December 26, 2024",Size: LargeColor: Spider Black,Verified Purchase,Hoodie isn’t as described or photographed. The front has some unreadable script and isn’t shown in any of the photos. Zipper is also poor quality.,
Hawk,Nice hoodie,https://www.amazon.com/gp/customer-reviews/R2BF9S1HIY2ZIR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," December 14, 2024",Size: SmallColor: Spider White,Verified Purchase,Product arrived on time was well built good material zipper worked excellent,
Mrs KMCV,Cheap!,https://www.amazon.com/gp/customer-reviews/R2N2KU3JZ7EBR2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," December 10, 2024",Size: LargeColor: T Spider Red,Verified Purchase,Cheaply made feels cheap too. Just junk.,
Amazon Customer,Looks like picture,https://www.amazon.com/gp/customer-reviews/R1V090RT535SQF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," December 10, 2024",Size: MediumColor: T Spider Black,Verified Purchase,I was pleasantly surprised to receive a zippered sweatshirt jacket that looked like the picture. I was so afraid it would be cheaply made. Now to see if my granddaughter is also satisfied at Christmas. Thank you.,
Jaimie,Not impressed,https://www.amazon.com/gp/customer-reviews/R3N0KNI9JAXUK5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," December 5, 2024",Size: LargeColor: Spider Black,Verified Purchase,We got this for our daughter who was super excited to see how it looked! She liked the hoodie. She went to zip it up to see how it looked and noticed the eyes didn’t line up like they were supposed to. She also was thinking it would have been a see through material so once it was zipped all the way you could still walk around.,
Awesome,Cool,https://www.amazon.com/gp/customer-reviews/R25D2FWYESA4C2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," December 3, 2024",Size: SmallColor: Spider Black,Verified Purchase,Awesome,
Icarus,Waste of money,https://www.amazon.com/gp/customer-reviews/R1HL50E3H2OLSS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," November 7, 2024",Size: LargeColor: T Spider Black,Verified Purchase,"The material is cheap and plasticity and weirdly shiny, the design looks odd and I would recommend spending your money elsewhere",
Tiffany chavez,Not worth the money,https://www.amazon.com/gp/customer-reviews/R245WAQK5A47LH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"2.0 "," the United States "," November 3, 2024",Size: MediumColor: Spider White,,Material is very thin when held up to look at the jacket you can see the light through the material. There were areas that the material already seemed to be defective or worn. The spider symbol on the back is very faded the dark spots in the second picture is my hand being shown through material .,
Lendi Pérez,Cute,https://www.amazon.com/gp/customer-reviews/RDWFGB3EIN6B7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," September 25, 2024",Size: MediumColor: T Spider Red,Verified Purchase,"Correct size, nice color and comfy",
Gene Lucia,Save your money,https://www.amazon.com/gp/customer-reviews/RVZIRIOA4F2LI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," August 14, 2024",Size: MediumColor: Spider White,Verified Purchase,Not worth the money first off the material is pretty thin but the worst part was the zipper its absolutely terrible literally the cheapest feeling and looking zipper I’ve ever seen and it barely works keeps getting stuck when you try to zip it up or down and that’s the truth of it!! just trying to help the consumer that’s it!!,4
J,Product stolen from original creator (Plz support the og supplier:Starry Sonder),https://www.amazon.com/gp/customer-reviews/R85VU6VDRC7EP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," August 6, 2024",Size: SmallColor: Spider White,,"Okay so recently I have been seeing a lot of resellers of this specific jack not only on Amazon, but also on TikTok too?? It really upsets me that the original creators of this jacket haven't really been getting support for their own craft yet. The creator's name is literally on the front of the damn jacket it says ""S-☆S-onder "" (the ""S"" goes for both the ☆(starry) and ""Sonder"". Also, a key detail is that with the og creators, the lettering is embroidered onto the jacket, not just pasted on like a damn stick bro 💀💀 (I would show proof of me owning the sweater but im out of town rn💀)",2
Amazon Customer,love it,https://www.amazon.com/gp/customer-reviews/R2AVRDPQN89G19/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," August 3, 2024",Size: LargeColor: Spider White,Verified Purchase,it's soft and warm and fits well.,
Robert Amador,It was a great price,https://www.amazon.com/gp/customer-reviews/R1KNFLZR6778P8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," August 2, 2024",Size: MediumColor: Spider Black,Verified Purchase,It was for my granddaughter,
Xzavion Quiver,Really cute,https://www.amazon.com/gp/customer-reviews/RYDZ4SOG39W2S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," July 20, 2024",Size: LargeColor: Spider Black,Verified Purchase,This jacket is really cute it matches with everything,
Brad duke Pensgard jr,...,https://www.amazon.com/gp/customer-reviews/R27E3X2KS31E6M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," July 16, 2024",Size: MediumColor: T Spider Black,Verified Purchase,"I dislike the fact it zips up all the way to the end of the hood, which is quite annoying- nasiah my daughter",
Makenzie,Not worth it,https://www.amazon.com/gp/customer-reviews/RVLMB834T6WU7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," July 16, 2024",Size: LargeColor: T Spider Red,Verified Purchase,Honestly not worth the money. Feels like it is from SHEIN🤢,
Jae,Jacket,https://www.amazon.com/gp/customer-reviews/R2080U87TSY1VR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," July 15, 2024",Size: LargeColor: Spider White,Verified Purchase,"I liked it, but the fabric on the outside was like a weird texture",
Forbici,It’s nice.,https://www.amazon.com/gp/customer-reviews/RVOSUBNJ33OG7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," June 9, 2024",Size: SmallColor: Spider White,Verified Purchase,"It fits, and the person loves it. Was just what they wanted.",
jake,Cool hoodie but...,https://www.amazon.com/gp/customer-reviews/R3LKURWR31L7G2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," May 24, 2024",Size: X-LargeColor: Spider White,Verified Purchase,"It's a cool hoodie, light weight, only issue with it is that it zips all the way up so it's like a mask but you can't see out it 😅🤦‍♀️",
Kathy,What's this say?,https://www.amazon.com/gp/customer-reviews/R1T9URULL1HQUH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"3.0 "," the United States "," May 20, 2024",Size: SmallColor: Spider White,Verified Purchase,It's a nice enough hoodie for the cost. Soft on the inside. I was wondering why no pictures of the front were advertised. Probably because they didn't spell spider. I get that the star is supposed to be the p. But why does the i look like an o??,22
martha tellez,Súper mala calidad!!,https://www.amazon.com/gp/customer-reviews/R38LAKVL6NMVGW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," May 10, 2024",Size: MediumColor: Spider White,Verified Purchase,La tela se hace fea después de la primer lavada y todo está super corriente el sierre se rompió fácilmente!! Horrible,
beau,"comfy, a little small",https://www.amazon.com/gp/customer-reviews/R2GH1PF797J8I8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," April 18, 2024",Size: X-LargeColor: Spider Black,Verified Purchase,"i got matching ones for me and my bf, but the sleeves on his are a little short",
person that was disappointed,good,https://www.amazon.com/gp/customer-reviews/R30TJV50NH0W1F/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"4.0 "," the United States "," April 4, 2024",Size: LargeColor: Spider White,Verified Purchase,its good i wear it a lot but it is very thin and needs to be warn over a sweater or long sleeves,
Amy,Not mens size,https://www.amazon.com/gp/customer-reviews/RLV5KTSAJ6WHJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"1.0 "," the United States "," March 18, 2024",Size: LargeColor: T Spider Red,Verified Purchase,Don't wast your money if buying for a adult I got a large they say it's a men's large and it is not the large I got fits a 10 year old girl I see something wrong with this what is going on with selling thing you sit around waiting for for 2 weeks just to find out its not even adult sizes that was to be a birthday present now I'm less then a week to find something else,5
michael richardson,My daughter love this sweat jacket,https://www.amazon.com/gp/customer-reviews/R20GA952PHDPZ7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," March 9, 2024",Size: MediumColor: Spider White,Verified Purchase,It is a sporty girls jacket for a teenager,
JD,Quality & Happy Teenager,https://www.amazon.com/gp/customer-reviews/R2W04VFFDKA6IW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," February 27, 2024",Size: LargeColor: Spider Black,Verified Purchase,"Aren’t teens a pain to shop for…. This hoodie delivered in style, quality and cost. Has been added to my teen daughter’s hoodie rotation, which is a ringing endorsement.",2
Kristine,Loved,https://www.amazon.com/gp/customer-reviews/R1F1Z2I99S26KJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," February 7, 2024",Size: MediumColor: T Spider Black,Verified Purchase,"My daughter loves this sweater, zips all the way up the hood so she had fun with that.",
Mya Lenz,Cute & comfortable 😊,https://www.amazon.com/gp/customer-reviews/R3C98LGRQZN6NU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," January 19, 2024",Size: SmallColor: Spider Black,Verified Purchase,"this is a great hoodie, its cute ,comfortable and fits perfectly !! it also zips up fully if you like those kinds of zip up hoodies. its a really soft material and the hoodie is great quality. i order a small for reference if you want a more oversized look maybe order a size up.",8
briley,amazing!,https://www.amazon.com/gp/customer-reviews/R1FQP9GNJG5VE0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"5.0 "," the United States "," January 7, 2024",Size: MediumColor: T Spider Red,Verified Purchase,this is so comfy and cute comes just how it says it will!!! it came a few days early as well!!!,2
Roger A Flores,Cheap material,https://www.amazon.com/gp/customer-reviews/R2R1XSHJMXGJFO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CJQHTN1Z,"2.0 "," the United States "," January 4, 2024",Size: MediumColor: Spider White,Verified Purchase,Super cute but very cheap . Looks like the print is going to flake off,2
