评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
SereneChaos,So soft!,https://www.amazon.com/gp/customer-reviews/R1EQUM8U628OYF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 18, 2025",Size: LargeColor: 7 Dark Grey,Verified Purchase,The fit is a perfect loose fit as described. It falls beautifully so it doesn't seem too wide and flatters well. It is warm without being too thick or bulky. It is so so so soft! I plan to order more in other colors! Definitely worth the price. Great quality!,
Tara Burns,Gorgeous red! The perfect waffle knit!,https://www.amazon.com/gp/customer-reviews/R36VYAJGY835JA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 18, 2025",Size: X-LargeColor: 1 Red,Verified Purchase,"Loving this shirt SO much!  Ordered my true size.  (Now to order more!) Great quality, perfect thickness for layering or by itself, great price, super soft, fits nicely - love the side slits.",
Suzie,Love this piece,https://www.amazon.com/gp/customer-reviews/R2M6VS6W2TIOVD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 17, 2025",Size: MediumColor: 2 Green,Verified Purchase,"Great color, comfortable.  Not cheap looking!  Fit great too.",
Janet Fernandez,Love this shirt.,https://www.amazon.com/gp/customer-reviews/R64F7WHBRXCRW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 17, 2025",Size: SmallColor: 2 Green,Verified Purchase,Fits as expected. Washes well. Did not shrink. Great with leggings. Will get another in different color.,
Sarah Turner,Love this shirt,https://www.amazon.com/gp/customer-reviews/R29XCYT3OP2R55/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 14, 2025",Size: X-LargeColor: 2 Green,Verified Purchase,"I’m particular about shirts - their fit, texture, etc… love this shirt.  Super comfy.  After ordering one, I decided to order another.",
Frankie,How it fit,https://www.amazon.com/gp/customer-reviews/R7PEVQGQXBHTL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," January 12, 2025",Size: XX-LargeColor: 1 Red,Verified Purchase,It was a gift and the person loved the quality and how flattering it was. Since it was oversized I bought it a size smaller and it fit perfectly,
Chad and Sam,Odd material and fit,https://www.amazon.com/gp/customer-reviews/R1J5UEUZMUU3MS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," January 11, 2025",Size: X-LargeColor: 3 Gray,,This shirt came quicker than I expected. I was very excited to wear but unfortunately the fit is off. The sleeves are tight and the length of the shirt itself is short. The material is thin and rough. I am 5’6” and 180 pounds and bought an xlg,
Roberta Cockerham,Great value,https://www.amazon.com/gp/customer-reviews/R215LLNPT1EJAL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 10, 2025",Size: LargeColor: 2 Green,Verified Purchase,Flattening and comfy soft!,
L W Stubenrauch,Love these shirts!,https://www.amazon.com/gp/customer-reviews/R2VXOG7HQW0DV0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 9, 2025",Size: MediumColor: 1 Red,Verified Purchase,I ended up getting them in several colors. So comfy and flattering. Love them!,
Matthew Kolis,Comfort true to size,https://www.amazon.com/gp/customer-reviews/R2QBAIJ8Y5AL4Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 9, 2025",Size: LargeColor: 8 Chicory Coffee,Verified Purchase,Love this shirt…. Sooo comfy,
shane cardwell,Trendy and lightweight,https://www.amazon.com/gp/customer-reviews/R1BMNFG92P80VP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 6, 2025",Size: MediumColor: 6 Khaki,Verified Purchase,This sweater is great to wear with leggings!,
Anna Ver Ploeg,Okay,https://www.amazon.com/gp/customer-reviews/RDKR9490CBVIK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," January 5, 2025",Size: SmallColor: 8 Chicory Coffee,Verified Purchase,This shirt is okay. Not my favorite. Runs very large.,
Lizagreenbean,Super Soft!,https://www.amazon.com/gp/customer-reviews/RDBGODWZRGGLT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"4.0 "," the United States "," January 3, 2025",Size: SmallColor: 6 Khaki,,Love this top. It’s super soft and fits well. Will buy in another color!,
Amazon Customer,Comfy!,https://www.amazon.com/gp/customer-reviews/R3P6UELEY1D0RI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," January 3, 2025",Size: LargeColor: 4 Black,Verified Purchase,Soft and Comfy.,
Jamie Krajewski,Color is not what you think,https://www.amazon.com/gp/customer-reviews/R1CEBXI6BNUNC3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," January 3, 2025",Size: MediumColor: 8 Chicory Coffee,Verified Purchase,Besides the size being too big I feel like the shirt was a different color than what was advertised. I sent this short back and was given a refund.,
MG,Not worth the price,https://www.amazon.com/gp/customer-reviews/R2MOO30M6UA6C1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"2.0 "," the United States "," January 1, 2025",Size: MediumColor: 8 Chicory Coffee,Verified Purchase,"I got this on sale for about $16, and then that was almost too much for it.  This is shapeless, and see though. Not worth it at full price at all. It is comfy but that is the only thing going for it.",
Josie Fredrickson,Nice quality shirt,https://www.amazon.com/gp/customer-reviews/R2RE0JZITEA4FT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"5.0 "," the United States "," December 30, 2024",Size: SmallColor: 1 Red,Verified Purchase,very nice shirt,
For what it's worth ...,Garbage - falls apart after a wash,https://www.amazon.com/gp/customer-reviews/R46THZ6V7F6TI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," December 30, 2024",Size: MediumColor: 2 Green,Verified Purchase,See headline!,
Krae,Cheap made shirt,https://www.amazon.com/gp/customer-reviews/R1XGFCAX83CTKE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0CGT4P3B5,"1.0 "," the United States "," December 27, 2024",Size: XX-LargeColor: 1 Red,Verified Purchase,Fabric quality was very thin and see-through. Not sure if it would last more than a few washes. I returned it right after I took it out of the packaging.,
