评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Amazon Customer,Women’s Vintage Victorian Pleated Shirt,https://www.amazon.com/gp/customer-reviews/R1AY9P0N1HWMMG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 25, 2025",Size: 8Color: White,Verified Purchase,"Love this shirt and it’s very versatile. I’ve tried it on with leather pants and skirt, pencil skirt and jeans and I find it a hit every single time. Do size up, as it does run small, but it’s a great purchase.",
Alondra Rodriguez,Muy buena tela,https://www.amazon.com/gp/customer-reviews/R23CTKOHSPHGT6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 23, 2025",Size: 8Color: Spread Collar Black,Verified Purchase,Me encanto,
Catie F.,"Fits great, lining makes it NOT see through",https://www.amazon.com/gp/customer-reviews/R1CH5O2ZD54WDP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 21, 2025",Size: 8Color: Spread Collar White,Verified Purchase,"I'm busy and so many button up shirts stretch over my ample bosoms. This blouse fit so well and the lining gives me some security that my underclothes aren't visible. It is so soft and good quality. The color is gorgeous and I love the fancy pearl buttons. I'm 5'6"" and weigh about 170lbs, with a DD cup size and an 8 for great. I feel like the next size up would have been just a little too baggy for my purposes, but would still fit nicely if you have slightly broader shoulders than I do.",
Andrea S.,Tight in arms and Buttons where hard to button,https://www.amazon.com/gp/customer-reviews/RDVKFJP6CQ2BE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," January 21, 2025",Size: 10Color: Black,Verified Purchase,"The buttons were really hard to button like almost hurting my fingers to push them through the small hole. The arms were tight so it was hard to move. The detail in the blouse is really nice and I really wanted to like it, it was just too hard to move in so it wasn’t that comfortable. It didn’t have a lot of stretchiness.",
sarah blackwell,"Cute, buttons way too hard and sleeves are way too short",https://www.amazon.com/gp/customer-reviews/RZUGSJ5HGXC2I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," January 14, 2025",Size: 2Color: Black,Verified Purchase,"Cute style but the buttons are ridiculously hard to button and the sleeves are way too short to be a long sleeve shirt. If you want it to be 3/4 length sleeves, then great but this shirt is supposed to have full length sleeves.",
CPrice1,Size up,https://www.amazon.com/gp/customer-reviews/R8KMDT8C8IZ27/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"3.0 "," the United States "," January 12, 2025",Size: 4Color: White,Verified Purchase,Super cute top but definitely need to size up. Very thin material but makes for a good layering top.,
Tori,Very pretty,https://www.amazon.com/gp/customer-reviews/RMMYJZ5QJIRKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 12, 2025",Size: 20Color: White,Verified Purchase,Lovely shirt but runs small,
J. Keller,Runs very small,https://www.amazon.com/gp/customer-reviews/R3BW0WAFQT4FTG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 10, 2025",Size: 6Color: White,Verified Purchase,"I love this shirt! However I had to order 3 sizes to get the right fit. I am normally a xs/s. I ended up ordering s,m,lg. I kept the large and it is still a snug fit. It describes it as a US size 6, large. It is more like a US 2. So I'd order up at least two sizes. Once you find the right fit, this is a beautiful shirt and I love it!",
Luz Pietri,Hermosa,https://www.amazon.com/gp/customer-reviews/R34YU8I46O6V3B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 4, 2025",Size: 10Color: White,Verified Purchase,Todo me gusto es muy bonita y fina.,
Amazon Customer,Adorable,https://www.amazon.com/gp/customer-reviews/R1CKKLEPF6SLRM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," January 1, 2025",Size: 4Color: White,Verified Purchase,Love love love this shirt!,
