评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Vivian S.,My feet don't hurt which is unusually surprising,https://www.amazon.com/gp/customer-reviews/R1VPGRAGVAFM5T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 25, 2025",Size: 10.5-11Color: W63 | Jet Black,Verified Purchase,Love these immensely and ordering more,
Jamie,Great barefoot shoe,https://www.amazon.com/gp/customer-reviews/RFGU7S6H6EL72/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 24, 2025",Size: 6.5-7Color: W63 | Dark Grey,Verified Purchase,"Very comfortable, great for the gym. Great value for the money, good grip. Will definitely order again.",
Prudhoe,Good buy,https://www.amazon.com/gp/customer-reviews/R18VZXSBN0RJY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 20, 2025",Size: 8.5Color: W63 | Dark Grey,Verified Purchase,"Comfortable and good toe room. Bought them for my tai chi class as zero sole, so nice and flat for class. Good price too!",
Carolyn RW,So comfortable,https://www.amazon.com/gp/customer-reviews/R1LLPS6UDGZIXQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 19, 2025",Size: 10.5-11Color: W30 | Grey,Verified Purchase,I love these so much that I bought a pair for my husband. So comfortable. So much room in the toe box. Sizes are perfect.,
Lady Bug,Best...shoes...ever!,https://www.amazon.com/gp/customer-reviews/R1V1FWLDOMA3AC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 16, 2025",Size: 6.5-7Color: W63 | Grey/Gum,Verified Purchase,"They look great, have ergonomic support, not having a tongue is something I never knew I needed in a shoe (lol), & they're so comfy! And the half sizes are so appreciated. Definitely recommended.",
susan nezami,BAD,https://www.amazon.com/gp/customer-reviews/R3RIS3891YEWZG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," January 14, 2025",Size: 7.5-8Color: W63 | Dark Grey,Verified Purchase,This product looks nothing like its photo. I would not recommend it.,
Anonymous buyer,False advertising! Not purple!,https://www.amazon.com/gp/customer-reviews/RDNJASM8BXSVY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"1.0 "," the United States "," January 12, 2025",Size: 7.5-8Color: W30 | Purple,Verified Purchase,"These shoes were labeled purple. The photo showed a lovely royal purple. Not. Not even close. I just received them and they most assuredly pink. A deep pastel raspberry sort of pink. I am so disappointed. If you love purple, be forewarned. I am returning them.",
ARNOLD ARNOLD,nice zero degree shoes but be careful you do hurt yourself,https://www.amazon.com/gp/customer-reviews/RXAYV38NXDOBM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"3.0 "," the United States "," January 12, 2025",Size: 9-9.5Color: W63 | Jet Black,Verified Purchase,"Very well made shoes.  I wore them for three months and now I totally regret buying zero degree shoes.  Maybe you will find out for yourself what it really does to your body.  i regret wearing zero degree shoes.  However, these shoes are well made and comfortable.",
D Guzman,Not Great,https://www.amazon.com/gp/customer-reviews/R18LI6EN5ZBRDU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"2.0 "," the United States "," January 12, 2025",Size: 7.5-8Color: W63 | White/Gum,,"I liked the look of these shoes. They looked really good, had great grip and where comfortable to wear, i got compliments in them..... I really wanted to like these, but they did not let your feet breath at all. You'd think they would from their look and the fabric, but my feat would be sweaty and wet anytime i wore these longer than an hour or two. My feet would smell awful and so would the shoe. I would take them off and leave wet spots on the floor as i walked. Didnt mater what socks id wear whool, cotton, didnt matter. And when i didnt wear socks it was actually worse. These are not barefoot shoes. The back of the shoe gave me a blister everytime id try, and again my feet would be wet and smelly.  They also got extremely dirty very quickly i would wash them with bleach regularly..... i tossed them after spending an 8 hour day in them, my wife and i went on a day trip and i could smell my feet walking in the stores. I bought new shoes and threw them out. Dont waste your money.",
Evie Cruz~Lear,Comfort & ability to train at home,https://www.amazon.com/gp/customer-reviews/R2MTLPS77H1XOF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 11, 2025",Size: 9-9.5Color: W30 | Green,Verified Purchase,Def comfort and feel as good or better than being bare foot due to the impact on our foot sole. A great bargain for a well-made favorite hike and water fun slip-on shoe,
Amazon Customer,Great Durability!,https://www.amazon.com/gp/customer-reviews/R3E43GY3SWL2TS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08LPXY2R4,"5.0 "," the United States "," January 10, 2025",Size: 9-9.5Color: W63 | White/Gum,,"I’ve had my pair for over two years and with very regular wear, they have held up so well! I’m very impressed especially for the price point. These are my favorite lifting shoes because I can feel the ground and there is no lift in the heel. They are not padded so walking or running in them is not the best but I do jump rope in them. I like how the sole wraps up the edges a bit and even has rubber where laces tie. I find this handy when doing band or cable work so that things don’t slip off. I also really like the style and look of them. Black is super functional but now I want to add other colors! I’m more of a true 9 so sometimes there’s a bit more looseness than I’d like but I wear thin socks too. I could cinch them down more with the laces though.  My favorite part is that I can leave them tied and slip them on and off. They also don’t take up much space in my workout bag.",
