评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Jen,Amazing,https://www.amazon.com/gp/customer-reviews/R1XL0C1PBW5PAI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," January 20, 2025",,Verified Purchase,"These barefoot are amazing I take them hiking.They are super lightweight, very functional and amazing part of these shoes when hiking doesn’t slip . Super easy to clean, I just put them in the washer gentle clean they stay looking amazing as if I never went hiking.I really love the color I choose was camouflage. They are true to size I usually fit in a size 6 and I picked 5.5-6 and it fit perfect no need to size down or size up.",
Caitlin,True barefoot,https://www.amazon.com/gp/customer-reviews/R23QXM83JUMEFZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," January 6, 2025",Size: 9-9.5Color: W21v2 | White,Verified Purchase,I see a lot of brands claim to be barefoot shoes but are really only wide tie box. The soles should also fold like these. These are super comfy and affordable. I actually prefer them without socks. Excited to try these out at the gym,
Susan B,Comfortable,https://www.amazon.com/gp/customer-reviews/R1EUZWGW0XTAUM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," January 4, 2025",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,"These minimalist shoes have been comfortable.  However, I had to return for the next largest size, so I recommend keeping that in mind when you order.  There was no problem with the return, though.",
NH,Amazing!,https://www.amazon.com/gp/customer-reviews/R3V2WDA7UXIK9O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," December 22, 2024",Size: 9-9.5Color: W21v2 | Pink,Verified Purchase,"I mostly wear these while doing yard work but decided to try them on a steep hiking trail. They were AMAZING! I have a top line hiking shoe I normally wear but opted for these because of how lightweight they are. Their grip - INCREDIBLE - climbing and down smooth rock and these held me in place. I could feel every rock I stepped on but easy fix by adding some gel ortho inserts. Otherwise, an amazingly comfortable hiking shoe. Buying another pair so I am never without.",2
S. JOW,Zero Rise,https://www.amazon.com/gp/customer-reviews/R1IIQEISEZDP5V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," December 14, 2024",Size: 9-9.5Color: W21v2 | All Black,Verified Purchase,"I do not like to feel like I am wearing heels when I am hiking, running or walking. I wore holes in the bottoms of my last pair and was so happy to see they are still available. I like to wear them when exercising as well.",
Katibird,Nice wide toe but no arch support,https://www.amazon.com/gp/customer-reviews/R11J7A4T2WD1VT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," December 11, 2024",Size: 9-9.5Color: W21v2 | Light Blue,Verified Purchase,"It is hard to get wide toes and these are really comfortable but I needed to add an arch support. For older people whose arches are a bit collapsed, heads up. Buy to allow room for this. I went one size up and that works.",
JBWB6504,I wanted to love these but,https://www.amazon.com/gp/customer-reviews/R3QL8N0HKB22SW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"3.0 "," the United States "," December 11, 2024",Size: 9-9.5Color: W21v2 | Black,Verified Purchase,"I really liked how they felt and looked EXCEPT for the extremely tight band around the top ankle opening. I had to return and order something else. And no, I don't have large ankles or feet so not sure what was going on with these.",
Brandon Thorn,My wife is pleased with these shoes,https://www.amazon.com/gp/customer-reviews/R2OYE0JSXYJK3S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," December 9, 2024",Size: 7.5-8Color: W21v2 | Pink,Verified Purchase,"Very comfortable, snug. These do run a little small - she shared with me. She ordered a 1/2 size up.",
Anita Anaya,Comfortable on husband,https://www.amazon.com/gp/customer-reviews/RFKKLZPKL80RI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," December 7, 2024",Size: 7.5-8Color: W21v2 | Camouflage,Verified Purchase,Nice,
Angie,Joomra Zero drop shoes  Womens 6.5 -7,https://www.amazon.com/gp/customer-reviews/RZTJYNIB7LQSX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"5.0 "," the United States "," December 2, 2024",Size: 6.5-7Color: W21v2 | White,Verified Purchase,"This is my first pair of barefoot type shoes. So far, I really like these shoes. They're made of a stretchy type mesh/ cotton, except where the laces connect, and that area is like a hard plastic? They seem slick on wet vinyl floor, but most of my shoes are.  It hasn't been wet outside yet to check other surfaces. They fit like a glove on my foot. I have a wide foot, so they are snug, but don't feel tight at all, very stretchy and comfy. I've even put on heavy socks and they still fit nice. I like the look of them too. I will buy more of these!",3
Regina B.,Velcro,https://www.amazon.com/gp/customer-reviews/RNRB8QHNTO0VN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DDT3GB4Y,"4.0 "," the United States "," November 27, 2024",Size: 10Color: W21v2 | All Black,Verified Purchase,Like the fit but not sure why they came with velcro. The pic does not show any velcro.,
