评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Emily Conant,Good groomsmen gift!,https://www.amazon.com/gp/customer-reviews/RH63PWP8FVNW6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," January 27, 2025",Color: Royal Blue | Smoke,Verified Purchase,We bought these as one of our groomsmen gifts and they all wore them for some of the post ceremony group photos. They are looked great! They are good quality for the price.,
Carla,Great Value! Awesome party favor!,https://www.amazon.com/gp/customer-reviews/R14C6K4LLR7W83/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," October 5, 2024",Color: Matte Black | Smoke,Verified Purchase,Worked like a charm and actually really good quality for the price. Would highly recommend for parties or weddings.,
Paul,Good glasses,https://www.amazon.com/gp/customer-reviews/R11537BKSUZFMQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 27, 2024",Color: Gloss Black | Ice Blue Mirror,Verified Purchase,Great glasses for the price. Bought to put in boat bc we’re always losing them. Perfect for our needs.,
Amazon Customer,Great sunglasses for Gift Bags,https://www.amazon.com/gp/customer-reviews/R3T5BJPSCR5EZM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," August 3, 2024",Color: Imperial Maroon | Smoke,Verified Purchase,"Bought for my cheerleading team in their swag bags. Customized them and they loved them!  They’re fun, fit great, and look fantastic on! Good value for money.",
ava,Fun Pride shades,https://www.amazon.com/gp/customer-reviews/R1VVP93ULD29LE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 17, 2024",Color: Brilliant Rainbow | Smoke,Verified Purchase,"Well made and colorful for Pride. Happy Pride, y’all!",
Karlyne Ikuta,Nice quality,https://www.amazon.com/gp/customer-reviews/R2CBQ9O1OVJA0M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 9, 2024",Color: Gloss Black | Clear Lens,Verified Purchase,They were nicer than expected,
Amazon Customer,Great Shades For Simple Decor,https://www.amazon.com/gp/customer-reviews/RW3WHA369CRBY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," July 8, 2024",Color: Matte Black | Smoke,,I bought a 4 pack of these glasses for my groomsmen to wear as part of our wedding photos. It came out great since everyone matched. They are comfortable and sturdy for the price. I would buy again for another event we host.,
michelle m flynn,Mmmmmmm…,https://www.amazon.com/gp/customer-reviews/RWKN1L3W05K7L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"3.0 "," the United States "," June 19, 2024",Color: Royal Blue | Smoke,Verified Purchase,"It was short by 2 glasses, we were using them for the USAFA graduation ceremony and I was going to use these in clear “goodie” bags, I still used them and they were good/ok, but I am disappointed",
Stone,"I'm always losing my expensive glasses, never lose these though.",https://www.amazon.com/gp/customer-reviews/R38DMAMHAOCSS4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"5.0 "," the United States "," May 6, 2024",Color: Matte Black + Wood Print | Smoke,Verified Purchase,"Bought these for the whole Scout Troop, and laser engraved their names on the stems. Great value for the money.. still use mine a year later.",
David K,"Cheap and effective, but fragile",https://www.amazon.com/gp/customer-reviews/R1G25RULFN5AK4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01M68J9YO,"4.0 "," the United States "," March 7, 2024",Color: Matte Black | Smoke,Verified Purchase,"I’ve purchased these several times, and I think they have excellent value. They tend to break pretty easily, but that’s expected at this price. It took about two years for me to get through all of them before I broke the last pair and had to buy more.",
