评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Garry S.,Would buy again.,https://www.amazon.com/gp/customer-reviews/R2P6VCKFTYN1O2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," January 26, 2025",Size: X-LargeColor: Daisy,Verified Purchase,Great fabric and fit. True to size.,
Jennifer B,Love This,https://www.amazon.com/gp/customer-reviews/R2GTZGBHXLREVI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," January 19, 2025",Size: LargeColor: Daisy,Verified Purchase,Fits great.  Material is nice it breathes and feels good against the skin.  Gives just enough room to move around in but not too much to get wrapped around you.  Love the pockets also.  Very happy with this order.  I ordered two and will order more in the future.,
Kirst,I love it!,https://www.amazon.com/gp/customer-reviews/R2W94MCTSHP7SC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," January 9, 2025",Size: SmallColor: Black,Verified Purchase,"Comfortable and loose fitting, also lightweight and easy to move around in. This is perfect, and it has pockets! Already planning to buy a few more in different colors :-)",
Melissa W,Comfortable gown,https://www.amazon.com/gp/customer-reviews/R2M9OIZRE7FZXM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," December 31, 2024",Size: X-LargeColor: Black,Verified Purchase,1st one a bought lasted more than a year decided to buy 2 more. So comfy,
Placeholder,Comfy,https://www.amazon.com/gp/customer-reviews/R1QVNHRC73TAVP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," December 22, 2024",Size: LargeColor: Black,Verified Purchase,Perfect & so comfy. I ordered 4.😀,
bob miley,Pretty nightgown,https://www.amazon.com/gp/customer-reviews/R3W58G4CRD2W1Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"3.0 "," the United States "," December 18, 2024",Size: XX-LargeColor: White Flower,Verified Purchase,I really love the print however I don't like the seam in the back it's not comfortable to sit on a seam. The styles are real pretty and fabric good the only thing I wish is have seams on the sides.,
Laura Hunter-Chatfield,Comfortable,https://www.amazon.com/gp/customer-reviews/RZVIZYM2LGAAG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," December 10, 2024",Size: MediumColor: Purple,Verified Purchase,"I love the weight, length, pockets. I had 2 and I ordered three more so I don't have to wash them every two days.",
NMwritergal,Pockets!,https://www.amazon.com/gp/customer-reviews/R1Q6P0C125JCGF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"4.0 "," the United States "," December 6, 2024",Size: SmallColor: Blue Rose,Verified Purchase,"It has pockets! Nice feel to the material—not too thick, not too thin. Ignore the dumb description that says it’s “sexy.” It’s not. Just a nice nightgown.",
kat,Aviier nightgowns,https://www.amazon.com/gp/customer-reviews/RF6N485LM93UP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," December 2, 2024",Size: LargeColor: Red Cashew,Verified Purchase,Very comfortable,
Karen Green,Comfortable & stylish,https://www.amazon.com/gp/customer-reviews/R2DE2F5Y6B4S6I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," November 30, 2024",Size: XX-LargeColor: Blue,Verified Purchase,"I have this in a few colors & look forward to putting one on each evening, they are very comfortable and keep me cool so  I can get things accomplished. They wash & dry well, so they are easy to care for.  I am very happy with this purchase.",
KendraS,Different Fabrics,https://www.amazon.com/gp/customer-reviews/R365WRYR1F69NW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"4.0 "," the United States "," November 30, 2024",Size: LargeColor: Purple,Verified Purchase,"I ordered the cashew/red initially and loved it, then the purple. The straps are adjustable. The pockets are handy. The loose structure is very comfortable, but not so large that you swim in it. My only issue is that the solid colors (I can only speak for the purple) are a stiffer cotton fabric than the printed styles. The cashew gown is very soft and lightweight, more like a viscose or jersey feel, whereas the solid purple is more like a thicker, stiffer cotton. I suspect it will soften with repeated washing, but after the first wash, it still felt very different from the much softer printed gown. Both are comfortable, and worth the purchase, but some people with fabric-feel issues will definitely note the difference and may not like the solid colors. I guess the fabric could change randomly between all styles, so be aware of that when purchasing.",
D.,Pockets!!!,https://www.amazon.com/gp/customer-reviews/RBKU7G9GCBE60/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," November 18, 2024",Size: X-LargeColor: Black,Verified Purchase,I love the comfort of this night dress. Fits great. Soft material. Holds up in washer. I haven’t noticed any stretching. It’s medium weight material. You can wear it year round. It’s breathable. The color holds up nicely.,
Elisa Purdy,Perfect Nightgown!,https://www.amazon.com/gp/customer-reviews/R243APRN1W4MC3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," November 18, 2024",,Verified Purchase,"The only thing I regret is not scooping this up sooner. The material is nice and soft, and I love the length of this nightgown and the fact that it has pockets! Seriously, it has quickly become my favorite and go-to nightgown bc it's perfect 🥰",2
laura reed,Perfect fit,https://www.amazon.com/gp/customer-reviews/R2EZZEVHFQFV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," November 8, 2024",Size: X-LargeColor: Red Cashew,Verified Purchase,Love it,
Jamie Land,Non-breathable material.,https://www.amazon.com/gp/customer-reviews/RYVUI5LOLVMQU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"2.0 "," the United States "," October 25, 2024",Size: LargeColor: Daisy,Verified Purchase,"Sure, it’s soft, but it’s cheap material and very non-breathable.  Will stick with cotton from now on.",
rosemarie schaeffer,2 night gowns,https://www.amazon.com/gp/customer-reviews/R22NDFN9WB8ZB8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," October 20, 2024",,Verified Purchase,I like them very much,
Janet  Hoerner,So comfortable !,https://www.amazon.com/gp/customer-reviews/RTEGR9BGG9A3B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," October 9, 2024",Size: X-LargeColor: Daisy,Verified Purchase,Material is soft and cool …I use this for a summer lounge dress ! No ironing needed!,
Jen,Fits like a sac,https://www.amazon.com/gp/customer-reviews/RWMB4W4A06R7U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"1.0 "," the United States "," September 23, 2024",Size: SmallColor: Lake Blue,Verified Purchase,The product's appearance differs significantly from the image provided. The fit is unflattering and resembles a potato sack.,
Laura Tagliaferri,Sexy & beautiful.,https://www.amazon.com/gp/customer-reviews/R2KZIDZ8XPG9OV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," September 17, 2024",Size: X-LargeColor: Green White,Verified Purchase,Material is so nice. I'm heavy and it looks good on me! Beautiful color.,
gracegirl,So comfortable,https://www.amazon.com/gp/customer-reviews/R595K2LXMOA3Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," September 14, 2024",,Verified Purchase,Very light material and comfortable.,
Amazon Customer,Great Gown,https://www.amazon.com/gp/customer-reviews/R3QYCFY2XMTW1S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," September 11, 2024",Size: MediumColor: Daisy,Verified Purchase,"I normally wear medium and I ordered medium but I could have ordered small.  The fabric is soft, it’s great gown to wear to bed, some aren’t and it flows nice.",
Cheri M.,"looks good, hangs perfect",https://www.amazon.com/gp/customer-reviews/R6G0T41AFS7CZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," September 11, 2024",Size: XX-LargeColor: Black,Verified Purchase,Can be worn for sleep or quick trip out,
Barbette hart,Wonderful Surprise!,https://www.amazon.com/gp/customer-reviews/R2B899CV75KV3J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," September 1, 2024",Size: XX-LargeColor: White Flower,Verified Purchase,"I have purchased many nightgowns before on Amazon, but this one is a total surprise. It fits perfectly and the material is so soft, that it feels like butter against my skin. The print is perfect and the flowers are very clear, and most of all, it is made very well. I love it so much I will buy another one.",
Crystal felts,Black nightgown,https://www.amazon.com/gp/customer-reviews/R2TTXMVWSU81FZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," September 1, 2024",Size: X-LargeColor: Black,Verified Purchase,I love everything about it great metal fits perfectly looks just like the pic,
Melischief,This nightgown has pockets!,https://www.amazon.com/gp/customer-reviews/R2RGMV0RIS1ZEE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," August 30, 2024",Size: LargeColor: Daisy,Verified Purchase,Love this gown plan to buy more.,
MamaP,Ooookkk …,https://www.amazon.com/gp/customer-reviews/RLBIVRNDT1UBW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"3.0 "," the United States "," August 26, 2024",Size: LargeColor: Daisy,Verified Purchase,"Ummm … it’s a nightie made of t-shirt material.  Length is good and it doesn’t shrink with washing.  Pockets don’t lie flat, but given the material, do they ever?  The straps are too long - I had to find a way to adjust them without actually pulling the top of the gown into my armpits.  It’s ok, but I won’t order again.… and yes, I did read the reviews first …",3
AB,very unattractive  like wearing a sheet,https://www.amazon.com/gp/customer-reviews/R2F9P7ACZ79W19/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"1.0 "," the United States "," August 14, 2024",Size: SmallColor: Navy Blue,Verified Purchase,"Not like the photo...unattractive, runs HUGE and not comfortable material",
Phoebe,really nice summer housedress,https://www.amazon.com/gp/customer-reviews/R2TIIZ3FJ387GQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," August 6, 2024",,Verified Purchase,I'd definately wear this to the store.It's not thin(I got the floral.the straps are adjustable and the fit is excellent.I'm 180 and big at the middle.,
Josefina,Nice dress,https://www.amazon.com/gp/customer-reviews/R1LT2E3MEJRNT0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," August 5, 2024",Size: XX-LargeColor: Blue Rose,Verified Purchase,"I like them, I bought two. They are light and have nice print.  Very good for hot weather.",
Rita Fox,feels good on true to fit,https://www.amazon.com/gp/customer-reviews/R1CRIO8Y6KO6WK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," August 3, 2024",Size: X-LargeColor: White Flower,Verified Purchase,I like it.,
Cheri Rozetar,Comfort and fit,https://www.amazon.com/gp/customer-reviews/R34QKDOSXWON7P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," August 1, 2024",,Verified Purchase,Fit just right. Comfortable,
Lola,Great fit,https://www.amazon.com/gp/customer-reviews/R1QDK8G3ZVSQ1O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," July 28, 2024",Size: X-LargeColor: White Flower,Verified Purchase,"Lov the floral colors ,lov the fit and yummy soft,definitely buy this nite gown again👍it was one great purchase",
RRB,BAD PRODUCTS,https://www.amazon.com/gp/customer-reviews/R1SD4PSUXRYFWK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"1.0 "," the United States "," July 26, 2024",,Verified Purchase,"I bought three of these this year. They say ALL COTTON but the 3rd one I bought was a blend. It feels silkier than the other two. I  was them inside out so they won't rub against other garments on gentle and line dry them. This photo is of all the PILLING I just got from the ALL COTTON ones. I had to buy a sweater shaver to SHAVE THEM OFF. They felt ""bumpy"" which is not good. The one with the dark blue background is the blend. So far no pilling on that one.",
Madison,So comfy,https://www.amazon.com/gp/customer-reviews/R13S1X9DWMU0ZY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," July 19, 2024",Size: X-LargeColor: White Flower,Verified Purchase,So comfy,
Lisa,Soft,https://www.amazon.com/gp/customer-reviews/R2JG5XMENS8NDT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," July 19, 2024",Size: X-LargeColor: White Flower,Verified Purchase,The material is nice and soft with a bit of weight to it which makes it nice not only for sleeping in but lazing around the house in too!,
Placeholder,Soft and looks great on,https://www.amazon.com/gp/customer-reviews/R18B23I26980JV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Q6TJ7YB,"5.0 "," the United States "," July 15, 2024",Size: XX-LargeColor: Black,Verified Purchase,Loved the material. Nice coverage,
