评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
Anonymous Fish,LOWKEY 2X YOUR SIZE,https://www.amazon.com/gp/customer-reviews/RXHYPP8U0FV2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"3.0 "," the United States "," January 20, 2025",,,"the print is cool, but the sizing is way off. Whatever you are, i recommend you double or even 3x your size. (xls fit like mediums)",
Jeffrey W.,Runs small,https://www.amazon.com/gp/customer-reviews/R17FV55RKDZYE3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"3.0 "," the United States "," January 11, 2025",Size: MediumColor: Kozy Red,Verified Purchase,I bought a medium it fits like a small. Also what's up with the super pointy hood?,
Jessica M.,Buyer Beware,https://www.amazon.com/gp/customer-reviews/R2I1L50ZFK6XGR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," December 29, 2024",,Verified Purchase,Extra Wide but Short fitting,
Leigh,Not pleased,https://www.amazon.com/gp/customer-reviews/RQS354MAVXZLL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"2.0 "," the United States "," December 28, 2024",Size: 3X-LargeColor: 1-black,Verified Purchase,"The hoodie ran very small, zipper didn't work properly",
this is terrible it was nothing but stress trying to get the right thing,not good,https://www.amazon.com/gp/customer-reviews/R3J57JBJD75FIV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," December 16, 2024",Size: X-LargeColor: 1-black,Verified Purchase,I did not like it. The quality was awful. The sizing was not right,
Karri,Meh,https://www.amazon.com/gp/customer-reviews/R1R89KCMRP4Z8B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"3.0 "," the United States "," December 10, 2024",,Verified Purchase,"It's thin and some sort of synthetic material. Definitely going to snag easy but my 13 year old likes the look of it. It was only $23 so we'll keep it, I guess.  Shipping took awhile as it is coming directly from China. Definitely size up 1 or even 2 sizes.",
Amazon Customer,Quality is not up to the mark especially for the price,https://www.amazon.com/gp/customer-reviews/R334KDUN2P5MM0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," November 18, 2024",Size: MediumColor: 1-black,Verified Purchase,Quality is not up to the mark especially for the price. My daughter ordered and when I found out its too late to return. Wasted my money!,
Kat,Nephew loves…,https://www.amazon.com/gp/customer-reviews/R2RNT1C96PEUEQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"5.0 "," the United States "," November 14, 2024",Size: XX-LargeColor: 1-black,Verified Purchase,This was a gift for my nephew. I picked it out and loves it.,
Awful quality and lx fits like a small. I would not recommend,Poor quality,https://www.amazon.com/gp/customer-reviews/R2CCXE7XQDJWE3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"1.0 "," the United States "," November 7, 2024",Size: X-LargeColor: Kozy Red,Verified Purchase,The sleeves of the red pullover hoodie were way to short and the fabric was awful,
Shawn,Get a large or even xl chat !,https://www.amazon.com/gp/customer-reviews/R2V0A9174HQ3GG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"3.0 "," the United States "," November 5, 2024",,Verified Purchase,The material wasn’t awful but it was bad and the hands were so short for a medium but wtv . I should’ve gotten a xl.,
Simon,"The exact zip up i asked for , looked for  and bought.",https://www.amazon.com/gp/customer-reviews/R2DVVNLP9D3FVU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"5.0 "," the United States "," November 3, 2024",Size: SmallColor: 1-black,Verified Purchase,This zip up is the exact thing i have been looking for the color is the same as on the picture the star on the zip actually comes with the order and the zip up keeps you warm. Also has a big hat to fall asleep in everywhere. Im 5.3 ft and 120 lbs and size S is just a little to big for me.,
MLS,This is a Christmas gift.,https://www.amazon.com/gp/customer-reviews/R1KHI4X3NW4KRW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D7D3WBQ8,"4.0 "," the United States "," November 3, 2024",Size: MediumColor: 2-blue,Verified Purchase,This is a Christmas gift.  Not sure how the fit is going to be.  Ordered a medium and it looks a tad bit small to me. Won't know until he tries it on.  Fabric is a little different than I thought it would be.  Looks fairly warm though.,
